frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.flags.ack,tcp.flags.push,tcp.flags.syn,src,dst,label
142,6,35102,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,35102,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35104,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35104,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,35104,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,35104,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35110,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35110,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,35110,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,35110,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,46280,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,46280,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,46292,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,46292,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53984,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53984,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43194,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43194,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
206,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
60,6,59984,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,59992,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,59992,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,41131,443,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,50578,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50578,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,53486,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,50578,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,22364,80,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,50492,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,43098,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43098,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43106,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50492,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,43106,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
397,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
74,6,43614,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43614,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,37538,80,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,43614,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43614,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43626,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43626,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,43106,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43106,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,43626,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
142,6,50492,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,50492,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,43626,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,43626,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,50578,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,50580,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50580,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,53984,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
74,6,53488,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53488,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,46292,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,53984,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53986,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53986,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,38538,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,53488,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,38538,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35118,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53488,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,38538,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,38538,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,38552,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35118,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,38552,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,53986,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,53986,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53988,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53988,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,43194,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43194,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43198,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,35118,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43194,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,61269,80,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43198,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,50496,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50496,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,38552,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
142,6,50496,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
74,6,43634,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43634,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,46292,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
522,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
142,6,43198,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43198,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,42420,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50496,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,42420,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,53988,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,53988,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
245,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
74,6,52946,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,22907,8080,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,52946,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,55130,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,55130,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53304,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53304,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53498,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53498,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,35118,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35130,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35130,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,50580,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
142,6,53498,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
74,6,43210,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53498,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,43210,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,43210,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43210,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43224,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43224,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,49752,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,52946,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,52946,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,49752,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,55130,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,55130,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,55136,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,55136,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53512,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,27249,8080,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53512,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,53512,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,53512,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53514,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50580,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,50590,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,55136,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,55136,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,55144,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,42420,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,53514,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,50590,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,55144,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,55144,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,55144,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,53514,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,53514,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,50590,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,50590,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,50594,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,59992,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,59992,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,60002,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,35130,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,35130,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35146,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,43122,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,43130,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,38599,443,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,43634,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43634,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43648,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,54284,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,54284,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,50498,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50498,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,42420,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,42434,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,35152,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35152,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43138,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,4683,80,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,42438,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,55154,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,38552,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,38560,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,42448,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,38560,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,42448,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
213,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
74,6,52952,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
551,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
142,6,38560,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
74,6,50608,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50608,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43152,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43152,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,54284,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
142,6,53304,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
269,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
